Serial Number		Name		Value
A-000-000-000		Item_0		100.0
A-000-000-001		Item_1		100.0
A-000-000-002		Item_2		100.0
A-000-000-003		Item_3		100.0
A-000-000-004		Item_4		100.0
A-000-000-005		Item_5		100.0
A-000-000-006		Item_6		100.0
A-000-000-007		Item_7		100.0
A-000-000-008		Item_8		100.0
A-000-000-009		Item_9		100.0
A-000-000-010		Item_10		100.0
A-000-000-011		Item_11		100.0
A-000-000-012		Item_12		100.0
A-000-000-013		Item_13		100.0
A-000-000-014		Item_14		100.0
A-000-000-015		Item_15		100.0
A-000-000-016		Item_16		100.0
A-000-000-017		Item_17		100.0
A-000-000-018		Item_18		100.0
A-000-000-019		Item_19		100.0
A-000-000-020		Item_20		100.0
A-000-000-021		Item_21		100.0
A-000-000-022		Item_22		100.0
A-000-000-023		Item_23		100.0
A-000-000-024		Item_24		100.0
A-000-000-025		Item_25		100.0
A-000-000-026		Item_26		100.0
A-000-000-027		Item_27		100.0
A-000-000-028		Item_28		100.0
A-000-000-029		Item_29		100.0
A-000-000-030		Item_30		100.0
A-000-000-031		Item_31		100.0
A-000-000-032		Item_32		100.0
A-000-000-033		Item_33		100.0
A-000-000-034		Item_34		100.0
A-000-000-035		Item_35		100.0
A-000-000-036		Item_36		100.0
A-000-000-037		Item_37		100.0
A-000-000-038		Item_38		100.0
A-000-000-039		Item_39		100.0
A-000-000-040		Item_40		100.0
A-000-000-041		Item_41		100.0
A-000-000-042		Item_42		100.0
A-000-000-043		Item_43		100.0
A-000-000-044		Item_44		100.0
A-000-000-045		Item_45		100.0
A-000-000-046		Item_46		100.0
A-000-000-047		Item_47		100.0
A-000-000-048		Item_48		100.0
A-000-000-049		Item_49		100.0
A-000-000-050		Item_50		100.0
A-000-000-051		Item_51		100.0
A-000-000-052		Item_52		100.0
A-000-000-053		Item_53		100.0
A-000-000-054		Item_54		100.0
A-000-000-055		Item_55		100.0
A-000-000-056		Item_56		100.0
A-000-000-057		Item_57		100.0
A-000-000-058		Item_58		100.0
A-000-000-059		Item_59		100.0
A-000-000-060		Item_60		100.0
A-000-000-061		Item_61		100.0
A-000-000-062		Item_62		100.0
A-000-000-063		Item_63		100.0
A-000-000-064		Item_64		100.0
A-000-000-065		Item_65		100.0
A-000-000-066		Item_66		100.0
A-000-000-067		Item_67		100.0
A-000-000-068		Item_68		100.0
A-000-000-069		Item_69		100.0
A-000-000-070		Item_70		100.0
A-000-000-071		Item_71		100.0
A-000-000-072		Item_72		100.0
A-000-000-073		Item_73		100.0
A-000-000-074		Item_74		100.0
A-000-000-075		Item_75		100.0
A-000-000-076		Item_76		100.0
A-000-000-077		Item_77		100.0
A-000-000-078		Item_78		100.0
A-000-000-079		Item_79		100.0
A-000-000-080		Item_80		100.0
A-000-000-081		Item_81		100.0
A-000-000-082		Item_82		100.0
A-000-000-083		Item_83		100.0
A-000-000-084		Item_84		100.0
A-000-000-085		Item_85		100.0
A-000-000-086		Item_86		100.0
A-000-000-087		Item_87		100.0
A-000-000-088		Item_88		100.0
A-000-000-089		Item_89		100.0
A-000-000-090		Item_90		100.0
A-000-000-091		Item_91		100.0
A-000-000-092		Item_92		100.0
A-000-000-093		Item_93		100.0
A-000-000-094		Item_94		100.0
A-000-000-095		Item_95		100.0
A-000-000-096		Item_96		100.0
A-000-000-097		Item_97		100.0
A-000-000-098		Item_98		100.0
A-000-000-099		Item_99		100.0
A-000-000-100		Item_100		100.0
A-000-000-101		Item_101		100.0
A-000-000-102		Item_102		100.0
A-000-000-103		Item_103		100.0
A-000-000-104		Item_104		100.0
A-000-000-105		Item_105		100.0
A-000-000-106		Item_106		100.0
A-000-000-107		Item_107		100.0
A-000-000-108		Item_108		100.0
A-000-000-109		Item_109		100.0
A-000-000-110		Item_110		100.0
A-000-000-111		Item_111		100.0
A-000-000-112		Item_112		100.0
A-000-000-113		Item_113		100.0
A-000-000-114		Item_114		100.0
A-000-000-115		Item_115		100.0
A-000-000-116		Item_116		100.0
A-000-000-117		Item_117		100.0
A-000-000-118		Item_118		100.0
A-000-000-119		Item_119		100.0
A-000-000-120		Item_120		100.0
A-000-000-121		Item_121		100.0
A-000-000-122		Item_122		100.0
A-000-000-123		Item_123		100.0
A-000-000-124		Item_124		100.0
A-000-000-125		Item_125		100.0
A-000-000-126		Item_126		100.0
A-000-000-127		Item_127		100.0
A-000-000-128		Item_128		100.0
A-000-000-129		Item_129		100.0
A-000-000-130		Item_130		100.0
A-000-000-131		Item_131		100.0
A-000-000-132		Item_132		100.0
A-000-000-133		Item_133		100.0
A-000-000-134		Item_134		100.0
A-000-000-135		Item_135		100.0
A-000-000-136		Item_136		100.0
A-000-000-137		Item_137		100.0
A-000-000-138		Item_138		100.0
A-000-000-139		Item_139		100.0
A-000-000-140		Item_140		100.0
A-000-000-141		Item_141		100.0
A-000-000-142		Item_142		100.0
A-000-000-143		Item_143		100.0
A-000-000-144		Item_144		100.0
A-000-000-145		Item_145		100.0
A-000-000-146		Item_146		100.0
A-000-000-147		Item_147		100.0
A-000-000-148		Item_148		100.0
A-000-000-149		Item_149		100.0
A-000-000-150		Item_150		100.0
A-000-000-151		Item_151		100.0
A-000-000-152		Item_152		100.0
A-000-000-153		Item_153		100.0
A-000-000-154		Item_154		100.0
A-000-000-155		Item_155		100.0
A-000-000-156		Item_156		100.0
A-000-000-157		Item_157		100.0
A-000-000-158		Item_158		100.0
A-000-000-159		Item_159		100.0
A-000-000-160		Item_160		100.0
A-000-000-161		Item_161		100.0
A-000-000-162		Item_162		100.0
A-000-000-163		Item_163		100.0
A-000-000-164		Item_164		100.0
A-000-000-165		Item_165		100.0
A-000-000-166		Item_166		100.0
A-000-000-167		Item_167		100.0
A-000-000-168		Item_168		100.0
A-000-000-169		Item_169		100.0
A-000-000-170		Item_170		100.0
A-000-000-171		Item_171		100.0
A-000-000-172		Item_172		100.0
A-000-000-173		Item_173		100.0
A-000-000-174		Item_174		100.0
A-000-000-175		Item_175		100.0
A-000-000-176		Item_176		100.0
A-000-000-177		Item_177		100.0
A-000-000-178		Item_178		100.0
A-000-000-179		Item_179		100.0
A-000-000-180		Item_180		100.0
A-000-000-181		Item_181		100.0
A-000-000-182		Item_182		100.0
A-000-000-183		Item_183		100.0
A-000-000-184		Item_184		100.0
A-000-000-185		Item_185		100.0
A-000-000-186		Item_186		100.0
A-000-000-187		Item_187		100.0
A-000-000-188		Item_188		100.0
A-000-000-189		Item_189		100.0
A-000-000-190		Item_190		100.0
A-000-000-191		Item_191		100.0
A-000-000-192		Item_192		100.0
A-000-000-193		Item_193		100.0
A-000-000-194		Item_194		100.0
A-000-000-195		Item_195		100.0
A-000-000-196		Item_196		100.0
A-000-000-197		Item_197		100.0
A-000-000-198		Item_198		100.0
A-000-000-199		Item_199		100.0
A-000-000-200		Item_200		100.0
A-000-000-201		Item_201		100.0
A-000-000-202		Item_202		100.0
A-000-000-203		Item_203		100.0
A-000-000-204		Item_204		100.0
A-000-000-205		Item_205		100.0
A-000-000-206		Item_206		100.0
A-000-000-207		Item_207		100.0
A-000-000-208		Item_208		100.0
A-000-000-209		Item_209		100.0
A-000-000-210		Item_210		100.0
A-000-000-211		Item_211		100.0
A-000-000-212		Item_212		100.0
A-000-000-213		Item_213		100.0
A-000-000-214		Item_214		100.0
A-000-000-215		Item_215		100.0
A-000-000-216		Item_216		100.0
A-000-000-217		Item_217		100.0
A-000-000-218		Item_218		100.0
A-000-000-219		Item_219		100.0
A-000-000-220		Item_220		100.0
A-000-000-221		Item_221		100.0
A-000-000-222		Item_222		100.0
A-000-000-223		Item_223		100.0
A-000-000-224		Item_224		100.0
A-000-000-225		Item_225		100.0
A-000-000-226		Item_226		100.0
A-000-000-227		Item_227		100.0
A-000-000-228		Item_228		100.0
A-000-000-229		Item_229		100.0
A-000-000-230		Item_230		100.0
A-000-000-231		Item_231		100.0
A-000-000-232		Item_232		100.0
A-000-000-233		Item_233		100.0
A-000-000-234		Item_234		100.0
A-000-000-235		Item_235		100.0
A-000-000-236		Item_236		100.0
A-000-000-237		Item_237		100.0
A-000-000-238		Item_238		100.0
A-000-000-239		Item_239		100.0
A-000-000-240		Item_240		100.0
A-000-000-241		Item_241		100.0
A-000-000-242		Item_242		100.0
A-000-000-243		Item_243		100.0
A-000-000-244		Item_244		100.0
A-000-000-245		Item_245		100.0
A-000-000-246		Item_246		100.0
A-000-000-247		Item_247		100.0
A-000-000-248		Item_248		100.0
A-000-000-249		Item_249		100.0
A-000-000-250		Item_250		100.0
A-000-000-251		Item_251		100.0
A-000-000-252		Item_252		100.0
A-000-000-253		Item_253		100.0
A-000-000-254		Item_254		100.0
A-000-000-255		Item_255		100.0
A-000-000-256		Item_256		100.0
A-000-000-257		Item_257		100.0
A-000-000-258		Item_258		100.0
A-000-000-259		Item_259		100.0
A-000-000-260		Item_260		100.0
A-000-000-261		Item_261		100.0
A-000-000-262		Item_262		100.0
A-000-000-263		Item_263		100.0
A-000-000-264		Item_264		100.0
A-000-000-265		Item_265		100.0
A-000-000-266		Item_266		100.0
A-000-000-267		Item_267		100.0
A-000-000-268		Item_268		100.0
A-000-000-269		Item_269		100.0
A-000-000-270		Item_270		100.0
A-000-000-271		Item_271		100.0
A-000-000-272		Item_272		100.0
A-000-000-273		Item_273		100.0
A-000-000-274		Item_274		100.0
A-000-000-275		Item_275		100.0
A-000-000-276		Item_276		100.0
A-000-000-277		Item_277		100.0
A-000-000-278		Item_278		100.0
A-000-000-279		Item_279		100.0
A-000-000-280		Item_280		100.0
A-000-000-281		Item_281		100.0
A-000-000-282		Item_282		100.0
A-000-000-283		Item_283		100.0
A-000-000-284		Item_284		100.0
A-000-000-285		Item_285		100.0
A-000-000-286		Item_286		100.0
A-000-000-287		Item_287		100.0
A-000-000-288		Item_288		100.0
A-000-000-289		Item_289		100.0
A-000-000-290		Item_290		100.0
A-000-000-291		Item_291		100.0
A-000-000-292		Item_292		100.0
A-000-000-293		Item_293		100.0
A-000-000-294		Item_294		100.0
A-000-000-295		Item_295		100.0
A-000-000-296		Item_296		100.0
A-000-000-297		Item_297		100.0
A-000-000-298		Item_298		100.0
A-000-000-299		Item_299		100.0
A-000-000-300		Item_300		100.0
A-000-000-301		Item_301		100.0
A-000-000-302		Item_302		100.0
A-000-000-303		Item_303		100.0
A-000-000-304		Item_304		100.0
A-000-000-305		Item_305		100.0
A-000-000-306		Item_306		100.0
A-000-000-307		Item_307		100.0
A-000-000-308		Item_308		100.0
A-000-000-309		Item_309		100.0
A-000-000-310		Item_310		100.0
A-000-000-311		Item_311		100.0
A-000-000-312		Item_312		100.0
A-000-000-313		Item_313		100.0
A-000-000-314		Item_314		100.0
A-000-000-315		Item_315		100.0
A-000-000-316		Item_316		100.0
A-000-000-317		Item_317		100.0
A-000-000-318		Item_318		100.0
A-000-000-319		Item_319		100.0
A-000-000-320		Item_320		100.0
A-000-000-321		Item_321		100.0
A-000-000-322		Item_322		100.0
A-000-000-323		Item_323		100.0
A-000-000-324		Item_324		100.0
A-000-000-325		Item_325		100.0
A-000-000-326		Item_326		100.0
A-000-000-327		Item_327		100.0
A-000-000-328		Item_328		100.0
A-000-000-329		Item_329		100.0
A-000-000-330		Item_330		100.0
A-000-000-331		Item_331		100.0
A-000-000-332		Item_332		100.0
A-000-000-333		Item_333		100.0
A-000-000-334		Item_334		100.0
A-000-000-335		Item_335		100.0
A-000-000-336		Item_336		100.0
A-000-000-337		Item_337		100.0
A-000-000-338		Item_338		100.0
A-000-000-339		Item_339		100.0
A-000-000-340		Item_340		100.0
A-000-000-341		Item_341		100.0
A-000-000-342		Item_342		100.0
A-000-000-343		Item_343		100.0
A-000-000-344		Item_344		100.0
A-000-000-345		Item_345		100.0
A-000-000-346		Item_346		100.0
A-000-000-347		Item_347		100.0
A-000-000-348		Item_348		100.0
A-000-000-349		Item_349		100.0
A-000-000-350		Item_350		100.0
A-000-000-351		Item_351		100.0
A-000-000-352		Item_352		100.0
A-000-000-353		Item_353		100.0
A-000-000-354		Item_354		100.0
A-000-000-355		Item_355		100.0
A-000-000-356		Item_356		100.0
A-000-000-357		Item_357		100.0
A-000-000-358		Item_358		100.0
A-000-000-359		Item_359		100.0
A-000-000-360		Item_360		100.0
A-000-000-361		Item_361		100.0
A-000-000-362		Item_362		100.0
A-000-000-363		Item_363		100.0
A-000-000-364		Item_364		100.0
A-000-000-365		Item_365		100.0
A-000-000-366		Item_366		100.0
A-000-000-367		Item_367		100.0
A-000-000-368		Item_368		100.0
A-000-000-369		Item_369		100.0
A-000-000-370		Item_370		100.0
A-000-000-371		Item_371		100.0
A-000-000-372		Item_372		100.0
A-000-000-373		Item_373		100.0
A-000-000-374		Item_374		100.0
A-000-000-375		Item_375		100.0
A-000-000-376		Item_376		100.0
A-000-000-377		Item_377		100.0
A-000-000-378		Item_378		100.0
A-000-000-379		Item_379		100.0
A-000-000-380		Item_380		100.0
A-000-000-381		Item_381		100.0
A-000-000-382		Item_382		100.0
A-000-000-383		Item_383		100.0
A-000-000-384		Item_384		100.0
A-000-000-385		Item_385		100.0
A-000-000-386		Item_386		100.0
A-000-000-387		Item_387		100.0
A-000-000-388		Item_388		100.0
A-000-000-389		Item_389		100.0
A-000-000-390		Item_390		100.0
A-000-000-391		Item_391		100.0
A-000-000-392		Item_392		100.0
A-000-000-393		Item_393		100.0
A-000-000-394		Item_394		100.0
A-000-000-395		Item_395		100.0
A-000-000-396		Item_396		100.0
A-000-000-397		Item_397		100.0
A-000-000-398		Item_398		100.0
A-000-000-399		Item_399		100.0
A-000-000-400		Item_400		100.0
A-000-000-401		Item_401		100.0
A-000-000-402		Item_402		100.0
A-000-000-403		Item_403		100.0
A-000-000-404		Item_404		100.0
A-000-000-405		Item_405		100.0
A-000-000-406		Item_406		100.0
A-000-000-407		Item_407		100.0
A-000-000-408		Item_408		100.0
A-000-000-409		Item_409		100.0
A-000-000-410		Item_410		100.0
A-000-000-411		Item_411		100.0
A-000-000-412		Item_412		100.0
A-000-000-413		Item_413		100.0
A-000-000-414		Item_414		100.0
A-000-000-415		Item_415		100.0
A-000-000-416		Item_416		100.0
A-000-000-417		Item_417		100.0
A-000-000-418		Item_418		100.0
A-000-000-419		Item_419		100.0
A-000-000-420		Item_420		100.0
A-000-000-421		Item_421		100.0
A-000-000-422		Item_422		100.0
A-000-000-423		Item_423		100.0
A-000-000-424		Item_424		100.0
A-000-000-425		Item_425		100.0
A-000-000-426		Item_426		100.0
A-000-000-427		Item_427		100.0
A-000-000-428		Item_428		100.0
A-000-000-429		Item_429		100.0
A-000-000-430		Item_430		100.0
A-000-000-431		Item_431		100.0
A-000-000-432		Item_432		100.0
A-000-000-433		Item_433		100.0
A-000-000-434		Item_434		100.0
A-000-000-435		Item_435		100.0
A-000-000-436		Item_436		100.0
A-000-000-437		Item_437		100.0
A-000-000-438		Item_438		100.0
A-000-000-439		Item_439		100.0
A-000-000-440		Item_440		100.0
A-000-000-441		Item_441		100.0
A-000-000-442		Item_442		100.0
A-000-000-443		Item_443		100.0
A-000-000-444		Item_444		100.0
A-000-000-445		Item_445		100.0
A-000-000-446		Item_446		100.0
A-000-000-447		Item_447		100.0
A-000-000-448		Item_448		100.0
A-000-000-449		Item_449		100.0
A-000-000-450		Item_450		100.0
A-000-000-451		Item_451		100.0
A-000-000-452		Item_452		100.0
A-000-000-453		Item_453		100.0
A-000-000-454		Item_454		100.0
A-000-000-455		Item_455		100.0
A-000-000-456		Item_456		100.0
A-000-000-457		Item_457		100.0
A-000-000-458		Item_458		100.0
A-000-000-459		Item_459		100.0
A-000-000-460		Item_460		100.0
A-000-000-461		Item_461		100.0
A-000-000-462		Item_462		100.0
A-000-000-463		Item_463		100.0
A-000-000-464		Item_464		100.0
A-000-000-465		Item_465		100.0
A-000-000-466		Item_466		100.0
A-000-000-467		Item_467		100.0
A-000-000-468		Item_468		100.0
A-000-000-469		Item_469		100.0
A-000-000-470		Item_470		100.0
A-000-000-471		Item_471		100.0
A-000-000-472		Item_472		100.0
A-000-000-473		Item_473		100.0
A-000-000-474		Item_474		100.0
A-000-000-475		Item_475		100.0
A-000-000-476		Item_476		100.0
A-000-000-477		Item_477		100.0
A-000-000-478		Item_478		100.0
A-000-000-479		Item_479		100.0
A-000-000-480		Item_480		100.0
A-000-000-481		Item_481		100.0
A-000-000-482		Item_482		100.0
A-000-000-483		Item_483		100.0
A-000-000-484		Item_484		100.0
A-000-000-485		Item_485		100.0
A-000-000-486		Item_486		100.0
A-000-000-487		Item_487		100.0
A-000-000-488		Item_488		100.0
A-000-000-489		Item_489		100.0
A-000-000-490		Item_490		100.0
A-000-000-491		Item_491		100.0
A-000-000-492		Item_492		100.0
A-000-000-493		Item_493		100.0
A-000-000-494		Item_494		100.0
A-000-000-495		Item_495		100.0
A-000-000-496		Item_496		100.0
A-000-000-497		Item_497		100.0
A-000-000-498		Item_498		100.0
A-000-000-499		Item_499		100.0
A-000-000-500		Item_500		100.0
A-000-000-501		Item_501		100.0
A-000-000-502		Item_502		100.0
A-000-000-503		Item_503		100.0
A-000-000-504		Item_504		100.0
A-000-000-505		Item_505		100.0
A-000-000-506		Item_506		100.0
A-000-000-507		Item_507		100.0
A-000-000-508		Item_508		100.0
A-000-000-509		Item_509		100.0
A-000-000-510		Item_510		100.0
A-000-000-511		Item_511		100.0
A-000-000-512		Item_512		100.0
A-000-000-513		Item_513		100.0
A-000-000-514		Item_514		100.0
A-000-000-515		Item_515		100.0
A-000-000-516		Item_516		100.0
A-000-000-517		Item_517		100.0
A-000-000-518		Item_518		100.0
A-000-000-519		Item_519		100.0
A-000-000-520		Item_520		100.0
A-000-000-521		Item_521		100.0
A-000-000-522		Item_522		100.0
A-000-000-523		Item_523		100.0
A-000-000-524		Item_524		100.0
A-000-000-525		Item_525		100.0
A-000-000-526		Item_526		100.0
A-000-000-527		Item_527		100.0
A-000-000-528		Item_528		100.0
A-000-000-529		Item_529		100.0
A-000-000-530		Item_530		100.0
A-000-000-531		Item_531		100.0
A-000-000-532		Item_532		100.0
A-000-000-533		Item_533		100.0
A-000-000-534		Item_534		100.0
A-000-000-535		Item_535		100.0
A-000-000-536		Item_536		100.0
A-000-000-537		Item_537		100.0
A-000-000-538		Item_538		100.0
A-000-000-539		Item_539		100.0
A-000-000-540		Item_540		100.0
A-000-000-541		Item_541		100.0
A-000-000-542		Item_542		100.0
A-000-000-543		Item_543		100.0
A-000-000-544		Item_544		100.0
A-000-000-545		Item_545		100.0
A-000-000-546		Item_546		100.0
A-000-000-547		Item_547		100.0
A-000-000-548		Item_548		100.0
A-000-000-549		Item_549		100.0
A-000-000-550		Item_550		100.0
A-000-000-551		Item_551		100.0
A-000-000-552		Item_552		100.0
A-000-000-553		Item_553		100.0
A-000-000-554		Item_554		100.0
A-000-000-555		Item_555		100.0
A-000-000-556		Item_556		100.0
A-000-000-557		Item_557		100.0
A-000-000-558		Item_558		100.0
A-000-000-559		Item_559		100.0
A-000-000-560		Item_560		100.0
A-000-000-561		Item_561		100.0
A-000-000-562		Item_562		100.0
A-000-000-563		Item_563		100.0
A-000-000-564		Item_564		100.0
A-000-000-565		Item_565		100.0
A-000-000-566		Item_566		100.0
A-000-000-567		Item_567		100.0
A-000-000-568		Item_568		100.0
A-000-000-569		Item_569		100.0
A-000-000-570		Item_570		100.0
A-000-000-571		Item_571		100.0
A-000-000-572		Item_572		100.0
A-000-000-573		Item_573		100.0
A-000-000-574		Item_574		100.0
A-000-000-575		Item_575		100.0
A-000-000-576		Item_576		100.0
A-000-000-577		Item_577		100.0
A-000-000-578		Item_578		100.0
A-000-000-579		Item_579		100.0
A-000-000-580		Item_580		100.0
A-000-000-581		Item_581		100.0
A-000-000-582		Item_582		100.0
A-000-000-583		Item_583		100.0
A-000-000-584		Item_584		100.0
A-000-000-585		Item_585		100.0
A-000-000-586		Item_586		100.0
A-000-000-587		Item_587		100.0
A-000-000-588		Item_588		100.0
A-000-000-589		Item_589		100.0
A-000-000-590		Item_590		100.0
A-000-000-591		Item_591		100.0
A-000-000-592		Item_592		100.0
A-000-000-593		Item_593		100.0
A-000-000-594		Item_594		100.0
A-000-000-595		Item_595		100.0
A-000-000-596		Item_596		100.0
A-000-000-597		Item_597		100.0
A-000-000-598		Item_598		100.0
A-000-000-599		Item_599		100.0
A-000-000-600		Item_600		100.0
A-000-000-601		Item_601		100.0
A-000-000-602		Item_602		100.0
A-000-000-603		Item_603		100.0
A-000-000-604		Item_604		100.0
A-000-000-605		Item_605		100.0
A-000-000-606		Item_606		100.0
A-000-000-607		Item_607		100.0
A-000-000-608		Item_608		100.0
A-000-000-609		Item_609		100.0
A-000-000-610		Item_610		100.0
A-000-000-611		Item_611		100.0
A-000-000-612		Item_612		100.0
A-000-000-613		Item_613		100.0
A-000-000-614		Item_614		100.0
A-000-000-615		Item_615		100.0
A-000-000-616		Item_616		100.0
A-000-000-617		Item_617		100.0
A-000-000-618		Item_618		100.0
A-000-000-619		Item_619		100.0
A-000-000-620		Item_620		100.0
A-000-000-621		Item_621		100.0
A-000-000-622		Item_622		100.0
A-000-000-623		Item_623		100.0
A-000-000-624		Item_624		100.0
A-000-000-625		Item_625		100.0
A-000-000-626		Item_626		100.0
